dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, orbit_pnt, granule_pnt, NDSI_Snow_Cover_Class, Snow_Albedo_Daily_Tile_Class]"
"[2015_01_01, 161.93255890359526, -77.38761593868648, 1420070400000, null, 1, 0, 6980, null, 10, 16, 250, 150]"
"[2015_01_02, 161.93255890359526, -77.38761593868648, 1420156800000, null, 0, 0, 1274, null, 9, 14, 250, 150]"
"[2015_01_03, 161.93255890359526, -77.38761593868648, 1420243200000, null, 0, 0, 405, null, 10, 14, 250, 150]"
"[2015_01_04, 161.93255890359526, -77.38761593868648, 1420329600000, 84, 1, 0, 8431, 37, 11, 16, null, null]"
"[2015_01_05, 161.93255890359526, -77.38761593868648, 1420416000000, null, 0, 0, -145, null, 9, 15, 250, 150]"
"[2015_01_06, 161.93255890359526, -77.38761593868648, 1420502400000, 68, 0, 0, 6836, 38, 11, 18, null, null]"
"[2015_01_07, 161.93255890359526, -77.38761593868648, 1420588800000, 49, 0, 0, 4933, 57, 9, 15, null, null]"
"[2015_01_08, 161.93255890359526, -77.38761593868648, 1420675200000, 79, 1, 0, 7975, 40, 10, 17, null, null]"
"[2015_01_09, 161.93255890359526, -77.38761593868648, 1420761600000, 51, 0, 0, 5104, 50, 9, 15, null, null]"
"[2015_01_10, 161.93255890359526, -77.38761593868648, 1420848000000, 64, 0, 0, 6414, 40, 10, 18, null, null]"
"[2015_01_11, 161.93255890359526, -77.38761593868648, 1420934400000, 72, 0, 0, 6425, 30, 11, 18, 250, 150]"
"[2015_01_12, 161.93255890359526, -77.38761593868648, 1421020800000, null, 0, 0, 703, null, 9, 16, 250, 150]"
"[2015_01_13, 161.93255890359526, -77.38761593868648, 1421107200000, null, 0, 0, 2285, null, 11, 19, 250, 150]"
"[2015_01_14, 161.93255890359526, -77.38761593868648, 1421193600000, null, 0, 0, 1395, null, 9, 16, 250, 150]"
"[2015_01_15, 161.93255890359526, -77.38761593868648, 1421280000000, null, 0, 0, 1547, null, 10, 17, 250, 150]"
"[2015_01_16, 161.93255890359526, -77.38761593868648, 1421366400000, 62, 0, 0, 6297, 52, 9, 14, null, null]"
"[2015_01_17, 161.93255890359526, -77.38761593868648, 1421452800000, 74, 0, 0, 7453, 44, 10, 17, null, null]"
"[2015_01_18, 161.93255890359526, -77.38761593868648, 1421539200000, 71, 0, 0, 7101, 43, 10, 16, null, null]"
"[2015_01_19, 161.93255890359526, -77.38761593868648, 1421625600000, 64, 0, 0, 6435, 44, 10, 16, null, null]"
"[2015_01_20, 161.93255890359526, -77.38761593868648, 1421712000000, 75, 0, 0, 7465, 41, 11, 16, null, null]"
"[2015_01_21, 161.93255890359526, -77.38761593868648, 1421798400000, 83, 1, 0, 8343, 37, 9, 15, null, null]"
"[2015_01_22, 161.93255890359526, -77.38761593868648, 1421884800000, 89, 1, 0, 8956, 37, 11, 18, null, null]"
"[2015_01_23, 161.93255890359526, -77.38761593868648, 1421971200000, 86, 1, 0, 8606, 37, 9, 15, null, null]"
"[2015_01_24, 161.93255890359526, -77.38761593868648, 1422057600000, 40, 0, 0, 3993, 43, 10, 17, null, null]"
"[2015_01_25, 161.93255890359526, -77.38761593868648, 1422144000000, 77, 1, 0, 7750, 34, 9, 15, null, null]"
