dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_02_15, 161.93255890359526, -77.38761593868648, 1644883200000, 91, 201, 2, 128, 8892, 24, 101, 11, 15]"
"[2022_02_16, 161.93255890359526, -77.38761593868648, 1644969600000, null, 250, 2, 128, 275, null, 150, 9, 13]"
"[2022_02_17, 161.93255890359526, -77.38761593868648, 1645056000000, null, 250, 2, 128, 693, null, 150, 10, 14]"
"[2022_02_18, 161.93255890359526, -77.38761593868648, 1645142400000, 74, 201, 2, 130, 7811, 26, 101, 8, 12]"
"[2022_02_19, 161.93255890359526, -77.38761593868648, 1645228800000, 88, null, 2, 128, 8786, 19, null, 8, 12]"
"[2022_02_20, 161.93255890359526, -77.38761593868648, 1645315200000, null, 201, 2, 130, 8816, null, 101, 7, 10]"
"[2022_02_21, 161.93255890359526, -77.38761593868648, 1645401600000, null, 250, 2, 128, 462, null, 150, 7, 10]"
"[2022_02_22, 161.93255890359526, -77.38761593868648, 1645488000000, null, 250, 2, 128, -25, null, 150, 8, 12]"
"[2022_02_23, 161.93255890359526, -77.38761593868648, 1645574400000, 80, null, 2, 128, 8056, 28, null, 7, 11]"
"[2022_02_24, 161.93255890359526, -77.38761593868648, 1645660800000, 83, null, 2, 128, 8306, 26, null, 8, 13]"
"[2022_02_25, 161.93255890359526, -77.38761593868648, 1645747200000, 44, null, 2, 128, 4435, 45, null, 7, 9]"
"[2022_02_26, 161.93255890359526, -77.38761593868648, 1645833600000, null, 250, 2, 128, 1880, null, 150, 7, 10]"
"[2022_02_27, 161.93255890359526, -77.38761593868648, 1645920000000, 65, null, 2, 128, 6523, 71, null, 6, 8]"
"[2022_02_28, 161.93255890359526, -77.38761593868648, 1646006400000, 70, null, 2, 128, 7061, 67, null, 7, 8]"
"[2022_03_01, 161.93255890359526, -77.38761593868648, 1646092800000, 28, 250, 2, 128, 1383, 69, 150, 6, 8]"
"[2022_03_02, 161.93255890359526, -77.38761593868648, 1646179200000, 65, null, 2, 128, 6585, 62, null, 6, 8]"
"[2022_03_03, 161.93255890359526, -77.38761593868648, 1646265600000, 62, null, 2, 128, 6270, 47, null, 8, 10]"
"[2022_03_04, 161.93255890359526, -77.38761593868648, 1646352000000, 31, null, 2, 144, 3130, 79, null, 6, 8]"
"[2022_03_05, 161.93255890359526, -77.38761593868648, 1646438400000, 65, null, 2, 128, 6606, 41, null, 7, 9]"
"[2022_03_06, 161.93255890359526, -77.38761593868648, 1646524800000, 46, null, 2, 128, 4641, 41, null, 6, 8]"
"[2022_03_07, 161.93255890359526, -77.38761593868648, 1646611200000, 26, null, 2, 144, 2564, 60, null, 6, 8]"
"[2022_03_08, 161.93255890359526, -77.38761593868648, 1646697600000, 50, null, 2, 128, 5045, 46, null, 5, 7]"
"[2022_03_09, 161.93255890359526, -77.38761593868648, 1646784000000, 64, null, 2, 128, 6403, 59, null, 6, 9]"
"[2022_03_10, 161.93255890359526, -77.38761593868648, 1646870400000, 61, null, 2, 128, 6141, 61, null, 6, 8]"
"[2022_03_11, 161.93255890359526, -77.38761593868648, 1646956800000, 33, 250, 2, 128, 2946, 77, 150, 5, 7]"
"[2022_03_12, 161.93255890359526, -77.38761593868648, 1647043200000, 51, null, 2, 128, 5151, 62, null, 7, 9]"
"[2022_03_13, 161.93255890359526, -77.38761593868648, 1647129600000, 65, null, 2, 128, 6487, 63, null, 5, 7]"
"[2022_03_14, 161.93255890359526, -77.38761593868648, 1647216000000, 66, null, 2, 128, 6639, 57, null, 5, 7]"
"[2022_03_15, 161.93255890359526, -77.38761593868648, 1647302400000, 74, null, 2, 128, 7414, 48, null, 5, 7]"
"[2022_03_16, 161.93255890359526, -77.38761593868648, 1647388800000, 86, null, 2, 128, 8665, 30, null, 5, 7]"
"[2022_03_17, 161.93255890359526, -77.38761593868648, 1647475200000, 82, null, 2, 128, 8223, 32, null, 5, 6]"
"[2022_03_18, 161.93255890359526, -77.38761593868648, 1647561600000, 84, 201, 2, 130, 8500, 36, 101, 5, 7]"
"[2022_03_19, 161.93255890359526, -77.38761593868648, 1647648000000, 51, 201, 2, 128, 5878, 39, 101, 6, 8]"
"[2022_03_20, 161.93255890359526, -77.38761593868648, 1647734400000, 82, 201, 2, 128, 8324, 30, 101, 5, 6]"
"[2022_03_21, 161.93255890359526, -77.38761593868648, 1647820800000, 83, 201, 2, 130, 8510, 42, 101, 5, 6]"
"[2022_03_22, 161.93255890359526, -77.38761593868648, 1647907200000, 81, 201, 2, 128, 8322, 33, 101, 5, 7]"
"[2022_03_23, 161.93255890359526, -77.38761593868648, 1647993600000, null, 250, 2, 128, 702, null, 150, 6, 8]"
"[2022_03_24, 161.93255890359526, -77.38761593868648, 1648080000000, 58, 201, 2, 130, 7239, 56, 101, 5, 8]"
"[2022_03_25, 161.93255890359526, -77.38761593868648, 1648166400000, 71, 201, 2, 130, 7892, 39, 101, 5, 7]"
"[2022_03_26, 161.93255890359526, -77.38761593868648, 1648252800000, 67, null, 2, 128, 6665, 27, null, 6, 8]"
"[2022_03_27, 161.93255890359526, -77.38761593868648, 1648339200000, 79, 201, 2, 130, 8330, 32, 101, 5, 6]"
"[2022_03_28, 161.93255890359526, -77.38761593868648, 1648425600000, 43, null, 2, 128, 4337, 61, null, 6, 8]"
"[2022_03_29, 161.93255890359526, -77.38761593868648, 1648512000000, 88, null, 2, 128, 8862, 37, null, 5, 7]"
