dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, orbit_pnt, granule_pnt, NDSI_Snow_Cover_Class, Snow_Albedo_Daily_Tile_Class]"
"[2007_01_01, 162.30086817008424, -77.7199925938107, 1167609600000, 38, 0, 0, 3863, 33, 9, 13, null, null]"
"[2007_01_02, 162.30086817008424, -77.7199925938107, 1167696000000, 35, 1, 0, 3627, 35, 10, 15, null, 125]"
"[2007_01_03, 162.30086817008424, -77.7199925938107, 1167782400000, 44, 0, 0, 3845, 33, 9, 15, 250, 150]"
"[2007_01_04, 162.30086817008424, -77.7199925938107, 1167868800000, null, 0, 0, 2607, null, 10, 18, 250, 150]"
"[2007_01_05, 162.30086817008424, -77.7199925938107, 1167955200000, null, 0, 0, 2701, null, 11, 19, 250, 150]"
"[2007_01_06, 162.30086817008424, -77.7199925938107, 1168041600000, 8, 1, 0, 4545, 33, 9, 16, 250, 150]"
"[2007_01_07, 162.30086817008424, -77.7199925938107, 1168128000000, 35, 1, 0, 3750, 37, 11, 18, null, 125]"
"[2007_01_08, 162.30086817008424, -77.7199925938107, 1168214400000, 41, 0, 0, 3376, 39, 9, 17, 250, 150]"
"[2007_01_09, 162.30086817008424, -77.7199925938107, 1168300800000, 36, 0, 0, 4842, 38, 10, 16, null, 125]"
"[2007_01_10, 162.30086817008424, -77.7199925938107, 1168387200000, 43, 0, 0, 4506, 39, 9, 16, null, 125]"
"[2007_01_11, 162.30086817008424, -77.7199925938107, 1168473600000, 43, 0, 0, 4390, 35, 10, 18, null, 125]"
"[2007_01_12, 162.30086817008424, -77.7199925938107, 1168560000000, 28, 0, 0, 2842, 30, 9, 16, null, null]"
"[2007_01_13, 162.30086817008424, -77.7199925938107, 1168646400000, 45, 0, 0, 4552, 31, 10, 15, null, null]"
"[2007_01_14, 162.30086817008424, -77.7199925938107, 1168732800000, null, 0, 0, 929, null, 11, 17, 250, 150]"
"[2007_01_15, 162.30086817008424, -77.7199925938107, 1168819200000, 40, 1, 0, 4435, 44, 9, 15, null, 125]"
"[2007_01_16, 162.30086817008424, -77.7199925938107, 1168905600000, 62, 0, 0, 3860, 48, 11, 17, 250, 150]"
"[2007_01_17, 162.30086817008424, -77.7199925938107, 1168992000000, 25, 0, 0, 2897, 36, 9, 13, null, 125]"
"[2007_01_18, 162.30086817008424, -77.7199925938107, 1169078400000, 42, 0, 0, 4154, 41, 10, 15, 250, 150]"
"[2007_01_19, 162.30086817008424, -77.7199925938107, 1169164800000, 36, 0, 0, 3588, 33, 9, 14, null, null]"
"[2007_01_20, 162.30086817008424, -77.7199925938107, 1169251200000, null, 0, 0, 4271, null, 10, 17, 250, 150]"
"[2007_01_21, 162.30086817008424, -77.7199925938107, 1169337600000, null, 0, 0, 3508, null, 10, 16, 250, 150]"
"[2007_01_22, 162.30086817008424, -77.7199925938107, 1169424000000, 37, 1, 0, 4960, 36, 9, 16, 250, 150]"
"[2007_01_23, 162.30086817008424, -77.7199925938107, 1169510400000, 36, 1, 0, 3592, 38, 11, 18, null, 125]"
"[2007_01_24, 162.30086817008424, -77.7199925938107, 1169596800000, 35, 0, 0, 3567, 29, 9, 15, null, null]"
"[2007_01_25, 162.30086817008424, -77.7199925938107, 1169683200000, null, 0, 0, 2643, null, 10, 16, 250, 150]"
"[2007_01_26, 162.30086817008424, -77.7199925938107, 1169769600000, null, 0, 0, 1380, null, 9, 15, 250, 150]"
"[2007_01_27, 162.30086817008424, -77.7199925938107, 1169856000000, null, 0, 0, 1294, null, 10, 15, 250, 150]"
"[2007_01_28, 162.30086817008424, -77.7199925938107, 1169942400000, 41, 0, 0, 4185, 37, 9, 13, null, null]"
"[2007_01_29, 162.30086817008424, -77.7199925938107, 1170028800000, 42, 0, 0, 4268, 35, 10, 14, null, null]"
"[2007_01_30, 162.30086817008424, -77.7199925938107, 1170115200000, 54, 0, 0, 5334, 39, 11, 17, null, 125]"
"[2007_01_31, 162.30086817008424, -77.7199925938107, 1170201600000, 13, 0, 0, 1330, 31, 9, 14, null, 125]"
"[2007_02_01, 162.30086817008424, -77.7199925938107, 1170288000000, 34, 1, 0, 3633, 38, 10, 14, null, 125]"
"[2007_02_02, 162.30086817008424, -77.7199925938107, 1170374400000, 49, 2, 128, 4745, 18, 9, 14, 201, 101]"
"[2007_02_03, 162.30086817008424, -77.7199925938107, 1170460800000, null, 0, 0, 457, null, 10, 15, 250, 150]"
"[2007_02_04, 162.30086817008424, -77.7199925938107, 1170547200000, 28, 2, 128, 2809, 29, 9, 13, null, null]"
"[2007_02_05, 162.30086817008424, -77.7199925938107, 1170633600000, null, 0, 0, 328, null, 10, 16, 250, 150]"
"[2007_02_06, 162.30086817008424, -77.7199925938107, 1170720000000, 34, 0, 0, 3381, 37, 11, 17, null, 125]"
"[2007_02_07, 162.30086817008424, -77.7199925938107, 1170806400000, 30, 2, 128, 3057, 42, 9, 15, 250, 150]"
"[2007_02_08, 162.30086817008424, -77.7199925938107, 1170892800000, 37, 0, 0, 3892, 30, 11, 17, null, 125]"
"[2007_02_09, 162.30086817008424, -77.7199925938107, 1170979200000, null, 2, 128, 1567, null, 9, 14, 250, 150]"
"[2007_02_10, 162.30086817008424, -77.7199925938107, 1171065600000, 61, 2, 128, 3430, 45, 10, 15, 250, 150]"
"[2007_02_11, 162.30086817008424, -77.7199925938107, 1171152000000, 31, 2, 128, 3344, 38, 9, 14, null, 125]"
"[2007_02_12, 162.30086817008424, -77.7199925938107, 1171238400000, 48, 2, 128, 4966, 20, 10, 15, null, 125]"
"[2007_02_13, 162.30086817008424, -77.7199925938107, 1171324800000, null, 2, 128, 1289, null, 9, 12, 250, 150]"
"[2007_02_14, 162.30086817008424, -77.7199925938107, 1171411200000, 33, 2, 128, 3490, 43, 10, 14, 250, 150]"
"[2007_02_15, 162.30086817008424, -77.7199925938107, 1171497600000, 54, 2, 128, 5434, 29, 11, 14, null, null]"
"[2007_02_16, 162.30086817008424, -77.7199925938107, 1171584000000, 36, 2, 128, 3674, 43, 9, 13, null, null]"
"[2007_02_17, 162.30086817008424, -77.7199925938107, 1171670400000, 28, 2, 128, 2856, 40, 11, 15, null, null]"
"[2007_02_18, 162.30086817008424, -77.7199925938107, 1171756800000, 33, 2, 128, 3424, 38, 8, 11, null, 125]"
"[2007_02_19, 162.30086817008424, -77.7199925938107, 1171843200000, 53, 2, 128, 3968, 41, 8, 12, 250, 150]"
"[2007_02_20, 162.30086817008424, -77.7199925938107, 1171929600000, 43, 2, 128, 4320, 44, 7, 11, null, null]"
"[2007_02_21, 162.30086817008424, -77.7199925938107, 1172016000000, 31, 2, 128, 3371, 36, 8, 11, null, 125]"
"[2007_02_22, 162.30086817008424, -77.7199925938107, 1172102400000, 37, 2, 128, 3780, 38, 9, 13, null, null]"
"[2007_02_23, 162.30086817008424, -77.7199925938107, 1172188800000, 37, 2, 128, 3750, 37, 7, 11, null, null]"
"[2007_02_24, 162.30086817008424, -77.7199925938107, 1172275200000, null, 2, 128, 1839, null, 8, 12, 250, 150]"
"[2007_02_25, 162.30086817008424, -77.7199925938107, 1172361600000, 56, 2, 128, 5598, 100, 7, 10, null, null]"
"[2007_02_26, 162.30086817008424, -77.7199925938107, 1172448000000, 64, 2, 128, 6387, 96, 7, 11, null, null]"
"[2007_02_27, 162.30086817008424, -77.7199925938107, 1172534400000, 68, 2, 128, 6855, 94, 6, 8, null, null]"
"[2007_02_28, 162.30086817008424, -77.7199925938107, 1172620800000, 71, 2, 128, 7090, 99, 7, 10, null, null]"
"[2007_03_01, 162.30086817008424, -77.7199925938107, 1172707200000, 75, 2, 128, 7487, 93, 6, 7, null, null]"
"[2007_03_02, 162.30086817008424, -77.7199925938107, 1172793600000, 74, 2, 128, 7375, 100, 6, 8, null, null]"
"[2007_03_03, 162.30086817008424, -77.7199925938107, 1172880000000, 70, 2, 128, 7001, 88, 8, 10, null, null]"
"[2007_03_04, 162.30086817008424, -77.7199925938107, 1172966400000, 44, 2, 128, 4465, 70, 6, 8, null, null]"
"[2007_03_05, 162.30086817008424, -77.7199925938107, 1173052800000, null, 2, 128, 2942, null, 7, 9, 250, 150]"
"[2007_03_06, 162.30086817008424, -77.7199925938107, 1173139200000, 14, 2, 144, 2241, 68, 6, 8, null, 125]"
"[2007_03_07, 162.30086817008424, -77.7199925938107, 1173225600000, 53, 2, 128, 5333, 58, 6, 9, null, null]"
"[2007_03_08, 162.30086817008424, -77.7199925938107, 1173312000000, 38, 2, 128, 4014, 60, 5, 7, null, 125]"
"[2007_03_09, 162.30086817008424, -77.7199925938107, 1173398400000, 57, 2, 128, 5757, 52, 6, 8, null, null]"
"[2007_03_10, 162.30086817008424, -77.7199925938107, 1173484800000, 29, 2, 128, 2942, 74, 6, 8, null, null]"
"[2007_03_11, 162.30086817008424, -77.7199925938107, 1173571200000, 62, 2, 128, 6218, 56, 5, 8, null, null]"
"[2007_03_12, 162.30086817008424, -77.7199925938107, 1173657600000, 61, 2, 128, 6100, 46, 7, 9, null, null]"
"[2007_03_13, 162.30086817008424, -77.7199925938107, 1173744000000, 50, 2, 128, 4980, 67, 5, 7, null, null]"
"[2007_03_14, 162.30086817008424, -77.7199925938107, 1173830400000, 41, 2, 128, 4179, 62, 5, 7, null, null]"
"[2007_03_15, 162.30086817008424, -77.7199925938107, 1173916800000, 26, 2, 128, 2581, 61, 5, 6, null, 125]"
"[2007_03_16, 162.30086817008424, -77.7199925938107, 1174003200000, 57, 2, 128, 5786, 52, 5, 7, null, null]"
"[2007_03_17, 162.30086817008424, -77.7199925938107, 1174089600000, null, 2, 128, 1389, null, 5, 7, 250, 150]"
"[2007_03_18, 162.30086817008424, -77.7199925938107, 1174176000000, 59, 2, 128, 5943, 59, 5, 6, null, null]"
"[2007_03_19, 162.30086817008424, -77.7199925938107, 1174262400000, 44, 2, 128, 4438, 46, 6, 7, null, null]"
"[2007_03_20, 162.30086817008424, -77.7199925938107, 1174348800000, 42, 2, 128, 4180, 44, 5, 7, null, null]"
"[2007_03_21, 162.30086817008424, -77.7199925938107, 1174435200000, null, 2, 128, -52, null, 6, 8, 250, 150]"
"[2007_03_22, 162.30086817008424, -77.7199925938107, 1174521600000, 46, 2, 128, 4622, 26, 5, 7, null, null]"
"[2007_03_23, 162.30086817008424, -77.7199925938107, 1174608000000, 0, 2, 148, 917, null, 6, 8, 250, 150]"
"[2007_03_24, 162.30086817008424, -77.7199925938107, 1174694400000, null, 2, 128, 929, null, 5, 7, 250, 150]"
"[2007_03_25, 162.30086817008424, -77.7199925938107, 1174780800000, 51, 2, 128, 5106, 70, 5, 7, null, null]"
"[2007_03_26, 162.30086817008424, -77.7199925938107, 1174867200000, 65, 2, 128, 6535, 37, 6, 7, null, null]"
