dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_02_15, 162.30086817008424, -77.7199925938107, 1644883200000, 43, 250, 2, 128, 3268, 32, 150, 11, 15]"
"[2022_02_16, 162.30086817008424, -77.7199925938107, 1644969600000, null, 250, 2, 128, 1187, null, 150, 9, 13]"
"[2022_02_17, 162.30086817008424, -77.7199925938107, 1645056000000, null, 250, 2, 128, 359, null, 150, 10, 14]"
"[2022_02_18, 162.30086817008424, -77.7199925938107, 1645142400000, 36, null, 2, 128, 3531, 37, 125, 8, 12]"
"[2022_02_19, 162.30086817008424, -77.7199925938107, 1645228800000, 32, null, 2, 128, 3419, 37, 125, 8, 12]"
"[2022_02_20, 162.30086817008424, -77.7199925938107, 1645315200000, 33, null, 2, 128, 3335, 36, null, 7, 10]"
"[2022_02_21, 162.30086817008424, -77.7199925938107, 1645401600000, 82, 201, 2, 128, 6988, 1, 101, 7, 10]"
"[2022_02_22, 162.30086817008424, -77.7199925938107, 1645488000000, null, 250, 2, 128, 59, null, 150, 7, 11]"
"[2022_02_23, 162.30086817008424, -77.7199925938107, 1645574400000, 41, null, 2, 128, 4099, 40, null, 7, 11]"
"[2022_02_24, 162.30086817008424, -77.7199925938107, 1645660800000, 30, null, 2, 128, 3493, 42, 125, 8, 13]"
"[2022_02_25, 162.30086817008424, -77.7199925938107, 1645747200000, 45, null, 2, 128, 4577, 43, 125, 7, 9]"
"[2022_02_26, 162.30086817008424, -77.7199925938107, 1645833600000, null, 250, 2, 128, 965, null, 150, 7, 10]"
"[2022_02_27, 162.30086817008424, -77.7199925938107, 1645920000000, 35, null, 2, 128, 3586, 39, null, 6, 8]"
"[2022_02_28, 162.30086817008424, -77.7199925938107, 1646006400000, 20, null, 2, 128, 1846, 32, 125, 7, 8]"
"[2022_03_01, 162.30086817008424, -77.7199925938107, 1646092800000, null, 250, 2, 128, 1285, null, 150, 6, 8]"
"[2022_03_02, 162.30086817008424, -77.7199925938107, 1646179200000, 39, 201, 2, 128, 3873, 36, 101, 6, 8]"
"[2022_03_03, 162.30086817008424, -77.7199925938107, 1646265600000, 24, 250, 2, 128, 2277, 31, 150, 7, 8]"
"[2022_03_04, 162.30086817008424, -77.7199925938107, 1646352000000, 19, null, 2, 144, 1930, 79, null, 6, 8]"
"[2022_03_05, 162.30086817008424, -77.7199925938107, 1646438400000, null, 250, 2, 128, 1506, null, 150, 7, 10]"
"[2022_03_06, 162.30086817008424, -77.7199925938107, 1646524800000, 30, null, 2, 128, 3075, 76, null, 6, 8]"
"[2022_03_07, 162.30086817008424, -77.7199925938107, 1646611200000, 22, null, 2, 144, 2178, 81, null, 6, 8]"
"[2022_03_08, 162.30086817008424, -77.7199925938107, 1646697600000, 43, null, 2, 128, 4284, 26, null, 5, 7]"
"[2022_03_09, 162.30086817008424, -77.7199925938107, 1646784000000, 21, null, 2, 128, 1766, 34, 125, 6, 9]"
"[2022_03_10, 162.30086817008424, -77.7199925938107, 1646870400000, 55, 201, 2, 128, 6497, 22, 101, 5, 7]"
"[2022_03_11, 162.30086817008424, -77.7199925938107, 1646956800000, null, 250, 2, 128, 1288, null, 150, 5, 7]"
"[2022_03_12, 162.30086817008424, -77.7199925938107, 1647043200000, 48, null, 2, 128, 4885, 34, null, 7, 9]"
